neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
Undefined (Pittsburgh),33,46,0,0,0,94,9,16,0,78,9,2023-04-17
Upper Hill (Pittsburgh),1317,2619,323,6,31,5415,485,1416,84,4000,401,2023-04-17
Upper Lawrenceville (Pittsburgh),1860,3229,397,3,20,7252,621,1345,127,5897,494,2023-04-17
Upper Saint Clair,16659,24929,2554,38,121,56333,5670,13190,1621,42866,3964,2023-04-17
Verona,1627,3027,292,5,47,5980,666,1512,141,4471,525,2023-04-17
Versailles,939,1692,138,10,38,3314,451,812,76,2499,373,2023-04-17
Wall,308,504,80,4,11,940,167,224,43,720,124,2023-04-17
West Deer,7496,13474,1634,46,160,26692,2911,9327,866,17324,2036,2023-04-17
West Elizabeth,252,442,55,1,4,833,124,310,32,523,92,2023-04-17
West End (Pittsburgh),167,230,18,0,4,524,73,147,14,377,59,2023-04-17
West Homestead,1207,2131,264,3,31,4291,514,868,74,3420,440,2023-04-17
West Mifflin,12755,23811,3266,38,297,45482,6111,10721,1340,34737,4751,2023-04-17
West Oakland (Pittsburgh),1658,4791,430,1,15,12545,503,1091,29,11456,474,2023-04-17
West View,4069,6624,797,7,68,13487,1673,3764,396,9672,1269,2023-04-17
Westwood (Pittsburgh),2198,3477,443,5,37,6890,989,2192,276,4696,713,2023-04-17
Whitaker,706,1523,194,1,22,2727,359,694,44,2031,314,2023-04-17
White Oak,4858,9034,1247,35,173,17304,2314,4102,462,13194,1849,2023-04-17
Whitehall,10656,21666,2459,81,227,40166,4563,8129,1202,32010,3347,2023-04-17
Wilkins,4182,6881,698,16,96,14418,1696,3459,440,10950,1248,2023-04-17
Wilkinsburg,10371,18985,2684,55,310,39470,3843,7074,540,32391,3299,2023-04-17
Wilmerding,1054,2225,354,5,33,4022,505,1034,128,2991,377,2023-04-17
Windgap (Pittsburgh),807,1466,130,3,12,2917,323,677,79,2236,244,2023-04-17
